Card ID,Title,Description,List,Sprint,Status,Assignee,Story Points,Branch,Off-Repo Evidence,Planned Time,Actual Time,Completed Date
PBI-01,Cross-platform frontend alignment and window behavior fixes,"Stabilize Linux/macOS layout behavior and improve consistency under different window managers.",Sprint 4 - Done,Sprint 4,Complete,Arya Patel,8,test-integration,No,6h,7h,2026-03-04
PBI-02,Frontend architecture/settings cleanup and UI consistency,"Refactor frontend structure and settings workflow while preserving behavior.",Sprint 4 - Done,Sprint 4,Complete,Arya Patel,5,test-integration,No,5h,6h,2026-03-04
PBI-03,Camera/Face ID integration progression in feature branches,"Advance camera and Face ID integration and merge-readiness with integration UI stream.",Sprint 4 - In Progress,Sprint 4,Partial,Deep Desai,8,"cameraaccess;origin/cameraIntegration;origin/camera-integration-clean",No,11h,13h,
PBI-04,Sprint artifact compliance (Trello export/reporting),"Maintain required sprint artifacts with backlog and sprint markers.",Sprint 4 - Done,Sprint 4,Complete,Jacob Hebert,3,tts-test,No,2h,1.5h,2026-03-03
PBI-05,Graceful quit for POSIX signal handling,"Ensure SIGINT/SIGTERM cleanly exits UI and backend server on macOS/Linux.",Sprint 4 - Done,Sprint 4,Complete,Jacob Hebert,3,test-integration,No,3h,3h,2026-03-03
PBI-06,2D duck model rendering framework R&D,"Prototype framework and rendering behavior for integrating 2D duck model into current UI.",Sprint 4 - Done,Sprint 4,Complete,Logan Flaherty,3,No direct branch this sprint,Yes (scrum report),4h,4h,2026-03-05
PBI-07,Swift port research for iOS compatibility,"Investigate Swift architecture and compatibility path for iOS support.",Sprint 4 - In Progress,Sprint 4,Partial,Michael Hudson,5,No direct branch this sprint,Yes (scrum report),6h,5h,
US-005,Reminder creation,"As a user, I want the assistant to create reminders for me, so that I do not forget important tasks.",Backlog,Backlog,Not Started,Unassigned,,Backlog,No,,,
US-009,Timers and alarms,"As a user, I want the assistant to set timers and alarms, so that I can manage my time effectively.",Backlog,Backlog,Not Started,Unassigned,,Backlog,No,,,
US-010,App control permissions,"As a user, I want to choose which applications the assistant is allowed to control, so that I feel safe about what it can access.",Backlog,Backlog,Not Started,Unassigned,,Backlog,No,,,
US-011,Toggle screen viewing,"As a user, I want to enable or disable the assistant’s screen viewing at any time, so that I remain in control of my privacy.",Backlog,Backlog,Not Started,Unassigned,,Backlog,No,,,
US-013,Preference learning,"As a user, I want the assistant to learn my preferences over time, so that it becomes more personalized and helpful.",Backlog,Backlog,Not Started,Unassigned,,Backlog,No,,,
